Comment,Designator,Footprint,LCSC
1k,"R1,R3,R4,R9",R_0402_1005Metric,C11702
100n,"C14,C16,C17,C2,C23",C_0603_1608Metric,C14663
1n,"C4,C5,C7,C9",C_0402_1005Metric,C1523
10u,"C18,C22",C_0603_1608Metric,C19702
S8050_SMD,"Q2,Q3",SOT-23,C2150
LED_Small,"D3,D4,D5",D_0603_1608Metric,C2286
100R,"R20,R21",R_0402_1005Metric,C25076
120R,"R16,R17",R_0402_1005Metric,C25079
220R,R8,R_0402_1005Metric,C25091
100k,R6,R_0402_1005Metric,C25741
10k,R22,R_0402_1005Metric,C25744
12k,R19,R_0402_1005Metric,C25752
27k,R18,R_0402_1005Metric,C25771
33k,"R11,R14,R15,R7",R_0402_1005Metric,C25779
4k7,R2,R_0402_1005Metric,C25900
3.3uH,L1,L_0603_1608Metric,C275346
TMP23X,U3,SOT65P210X110-5N,C2861437
100n,"C10,C12,C13,C19,C20,C21,C24,C6",C_0402_1005Metric,C307331
SANYOU_SRD_Form_C,"K1,K2",Relay_SPDT_SANYOU_SRD_Series_Form_C,C35449
68k,"R10,R5",R_0402_1005Metric,C36871
Screw_Terminal_01x03,"J5,J6","TerminalBlock_Phoenix_PT-1,5-3-3.5-H_1x03_P3.50mm_Horizontal",C3816291
HX711,U6,SOP-16_3.9x9.9mm_P1.27mm,C43656
ACS712x,U4,SOIC-8_3.9x4.9mm_P1.27mm,C44471
Screw_Terminal_01x04,J1,"TerminalBlock_Phoenix_PT-1,5-4-3.5-H_1x04_P3.50mm_Horizontal",C5144867
1u,C11,C_0402_1005Metric,C52923
"74LVC125APW,118",U1,SOP65P640X110-14N,C6059
Barrel_Jack,J4,Barrel_Jack_2A_C84007,C84007
S8550,"Q1,Q4",SOT-23,C8542
1N5819,"D1,D2",D_SOD-123,C8598
10u,"C1,C15,C3",C_0603_1608Metric,C96446
